node1_id,node2_id,node1,node2,combined_score,neighborhood_score,coexpression_score,database_score,textmining_score
9606.ENSP00000344818,9606.ENSP00000336927,UBC,ALDOA,0.999,0.999,0.186,0.0,0.0
9606.ENSP00000344818,9606.ENSP00000229239,UBC,GAPDH,0.999,0.998,0.505,0.0,0.0
9606.ENSP00000344818,9606.ENSP00000320171,UBC,PKM,0.999,0.998,0.066,0.0,0.0
9606.ENSP00000324105,9606.ENSP00000320171,ENO3,PKM,0.999,0.284,0.974,0.7,0.9
9606.ENSP00000405455,9606.ENSP00000321259,TKT,TALDO1,0.998,0.462,0.444,0.697,0.9
9606.ENSP00000359991,9606.ENSP00000344818,PGAM1,UBC,0.998,0.998,0.084,0.0,0.0
9606.ENSP00000405573,9606.ENSP00000344818,GPI,UBC,0.998,0.998,0.1,0.0,0.0
9606.ENSP00000405455,9606.ENSP00000344818,TKT,UBC,0.997,0.996,0.125,0.0,0.0
9606.ENSP00000405573,9606.ENSP00000360124,GPI,PGM1,0.996,0.229,0.802,0.9,0.788
9606.ENSP00000366620,9606.ENSP00000270776,H6PD,PGD,0.996,0.608,0.383,0.447,0.9
-1.CID100000753,-1.CID100001003,glycerol,phosphate,0.995,0.9,0.952,0.0,0.0
9606.ENSP00000222286,-1.CID100001003,GAPDHS,phosphate,0.994,0.921,0.9,0.383,0.0
9606.ENSP00000270776,-1.CID100000929,PGD,NADPH,0.994,0.936,0.9,0.166,0.0
9606.ENSP00000405573,9606.ENSP00000324105,GPI,ENO3,0.994,0.09,0.736,0.644,0.8
-1.CID100000784,-1.CID100023925,hydrogen perox.,Fe(III,0.994,0.9,0.942,0.0,0.0
9606.ENSP00000371393,9606.ENSP00000360124,PGM2,PGM1,0.993,0.064,0.644,0.8,0.912
9606.ENSP00000377192,9606.ENSP00000252603,G6PD,PGLS,0.992,0.462,0.467,0.9,0.765
9606.ENSP00000405573,9606.ENSP00000320171,GPI,PKM,0.991,0.078,0.827,0.8,0.773
9606.ENSP00000344818,9606.ENSP00000229319,UBC,LDHB,0.991,0.99,0.114,0.0,0.0
9606.ENSP00000377192,-1.CID100000929,G6PD,NADPH,0.99,0.8,0.9,0.571,0.0
9606.ENSP00000405455,9606.ENSP00000352401,TKT,RPE,0.988,0.284,0.223,0.14,0.253
9606.ENSP00000377192,9606.ENSP00000344818,G6PD,UBC,0.988,0.988,0.0,0.0,0.0
9606.ENSP00000270776,9606.ENSP00000252603,PGD,PGLS,0.988,0.284,0.158,0.9,0.836
9606.ENSP00000320171,9606.ENSP00000229319,PKM,LDHB,0.988,0.112,0.219,0.9,0.85
9606.ENSP00000324105,9606.ENSP00000297283,ENO3,PGAM2,0.987,0.089,0.433,0.087,0.9
9606.ENSP00000336927,9606.ENSP00000320171,ALDOA,PKM,0.987,0.683,0.8,0.811,0.0
9606.ENSP00000344818,9606.ENSP00000270776,UBC,PGD,0.987,0.074,0.986,0.071,0.0
-1.CID100000784,-1.CID100001003,hydrogen perox.,phosphate,0.987,0.9,0.874,0.0,0.0
